Team Name,Record,Pts,Pts/game
 
Florida,13-4-3,19,0.95
Tampa Bay,14-4-1,16,0.84
Chicago,12-7-4,20,0.87
Carolina,13-6-1,15,0.75
Columbus,8-10-5,18,0.78
Nashville,10-11-0,10,0.48
Detroit,7-14-3,13,0.54
Dallas,6-6-4,14,0.88
 
Washington,12-5-4,20,0.95
Boston,12-5-2,16,0.84
NY Islanders,11-6-4,19,0.9
Philadelphia,11-4-3,17,0.94
Pittsburgh,11-8-1,13,0.65
NY Rangers,7-9-3,13,0.68
New Jersey,7-8-2,11,0.65
Buffalo,6-10-3,12,0.63
 
Toronto,16-4-2,20,0.91
Edmonton,14-9-0,14,0.61
Winnipeg,13-6-1,15,0.75
Montreal,9-6-5,19,0.95
Calgary,10-10-2,14,0.64
Vancouver,8-14-2,12,0.5
Ottawa,7-15-1,9,0.39
 
Vegas,12-4-1,14,0.82
Minnesota,12-6-0,12,0.67
St. Louis,11-8-2,15,0.71
Colorado,11-6-1,13,0.72
Los Angeles,9-7-4,17,0.85
Arizona,9-9-3,15,0.71
Anaheim,6-10-5,16,0.76
San Jose,7-9-2,11,0.61
