Team Name,Record,Pts,Pts/game
 
Tampa Bay,23-6-2,48,1.55
Carolina,21-7-3,45,1.45
Florida,20-7-4,44,1.42
Chicago,14-13-5,33,1.03
Columbus,13-13-7,33,1.0
Nashville,14-17-1,29,0.91
Dallas,10-10-8,28,1.0
Detroit,10-18-4,24,0.75
 
NY Islanders,21-8-4,46,1.39
Washington,20-7-4,44,1.42
Pittsburgh,19-11-2,40,1.25
Boston,16-8-4,36,1.29
Philadelphia,15-11-4,34,1.13
NY Rangers,14-13-4,32,1.03
New Jersey,11-14-4,26,0.9
Buffalo,6-20-4,16,0.53
 
Edmonton,21-13-0,42,1.24
Toronto,20-10-2,42,1.31
Winnipeg,19-11-2,40,1.25
Montreal,14-8-9,37,1.19
Vancouver,16-17-3,35,0.97
Calgary,15-15-3,33,1.0
Ottawa,11-20-3,25,0.74
 
Vegas,22-7-1,45,1.5
Colorado,20-8-2,42,1.4
Minnesota,19-10-1,39,1.3
St. Louis,16-11-5,37,1.16
Los Angeles,13-12-6,32,1.03
Arizona,13-14-5,31,0.97
San Jose,12-14-4,28,0.93
Anaheim,9-18-6,24,0.73
